"","INSTNM","CITY","STABBR","ZIP","CONTROL","ADM_RATE","SAT_AVG","TUITIONFEE_IN","TUITIONFEE_OUT","UGDS","REGION","DEP_INC_PCT_H2","MD_INC_WDRAW_2YR_TRANS_YR4_RT","IND_COMP_4YR_TRANS_YR4_RT","SD_EARN_WNE_P10","FEMALE_WDRAW_4YR_TRANS_YR6_RT","LO_INC_COMP_2YR_TRANS_YR3_RT","NOLOAN_COMP_ORIG_YR4_RT","OPENADMP","PELL_COMP_4YR_TRANS_YR3_RT","DEATH_YR2_RT","NOLOAN_UNKN_ORIG_YR2_RT","NOT1STGEN_WDRAW_ORIG_YR6_RT","HI_INC_YR8_N","CUML_DEBT_P90","C100_L4"
"1","Alabama A & M University","Normal","AL","35762",1,"0.9027","929","9857","18236","4824",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"2","University of Alabama at Birmingham","Birmingham","AL","35294-0110",1,"0.9181","1195","8328","19032","12866",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"3","Amridge University","Montgomery","AL","36117-3553",2,"NULL","NULL","6900","6900","322",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4","University of Alabama in Huntsville","Huntsville","AL","35899",1,"0.8123","1322","10280","21480","6917",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5","Alabama State University","Montgomery","AL","36104-0271",1,"0.9787","935","11068","19396","4189",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"6","The University of Alabama","Tuscaloosa","AL","35487-0166",1,"0.533","1278","10780","28100","32387",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"7","Central Alabama Community College","Alexander City","AL","35010",1,"NULL","NULL","4440","8010","1404",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1856"
"8","Athens State University","Athens","AL","35611",1,"NULL","NULL","NULL","NULL","2801",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"9","Auburn University at Montgomery","Montgomery","AL","36117-3596",1,"0.8254","1083","8020","17140","4211",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"10","Auburn University","Auburn","AL","36849",1,"0.8393","1282","10968","29640","23391",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"11","Birmingham Southern College","Birmingham","AL","35254",2,"0.6186","1231","35804","35804","1283",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","2","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"12","Chattahoochee Valley Community College","Phenix City","AL","36869",1,"NULL","NULL","4314","7884","1370",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","0.1157"
"13","Concordia College Alabama","Selma","AL","36701",2,"NULL","NULL","10320","10320","389",5,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
