"X1","Date","AveragePrice","Total Volume","4046","4225","4770","Total Bags","Small Bags","Large Bags","XLarge Bags","type","year","region"
5,2015-11-22,0.98,215985.17,87241.86,91574.86,3926.84,33241.61,31653.96,1587.65,0,"conventional",2015,"LasVegas"
7,2017-11-12,1.56,19100.44,204.09,163.45,6.77,18726.13,18711.27,14.86,0,"organic",2017,"HarrisburgScranton"
43,2015-03-01,1.09,1619341.49,854129.32,460986.95,11417.67,292807.55,291293.85,540.74,972.96,"conventional",2015,"Plains"
27,2015-06-21,1.02,35734613.9,14699604.93,13244466.6,1326422.56,6464119.81,5517909.51,898027.46,48182.84,"conventional",2015,"TotalUS"
19,2015-08-16,1.88,32159.33,5368.34,15506.11,35.65,11249.23,9695.15,1554.08,0,"organic",2015,"Plains"
6,2015-11-15,1.25,90999.05,57764.9,7319.36,998.99,24915.8,12498.87,12406.71,10.22,"conventional",2015,"Jacksonville"
4,2017-12-03,1.09,5544556,2333912,1660573,100234,1449838,1365781,30856,53201,"conventional",2017,"California"
38,2016-04-03,0.97,113028.45,37271.13,32720.2,169.65,42867.47,41615.1,1252.37,0,"conventional",2016,"Roanoke"
32,2016-05-15,1.65,47778.34,5526.42,23572.79,2753.86,15925.27,9033.29,6891.98,0,"organic",2016,"Plains"
31,2017-05-28,1.21,100415.9,40637.11,3548.36,10210.41,46020.02,45988.11,20.42,11.49,"conventional",2017,"Boise"
21,2015-08-02,1.62,15286.4,198.92,14035.28,0,1052.2,123.34,928.86,0,"organic",2015,"CincinnatiDayton"
0,2015-12-27,1.05,2065131.33,435246.31,1022861.71,103811.97,503211.34,464119.16,35717.26,3374.92,"conventional",2015,"Midsouth"
38,2017-04-09,2.02,8814.73,247.84,5759.67,705.1,2102.12,1909.12,193,0,"organic",2017,"Charlotte"
0,2015-12-27,1.46,142710.36,29880.32,48416.71,38.63,64374.7,17464.54,46910.16,0,"organic",2015,"West"
52,2017-01-01,1.92,13901.46,1420.47,6298.07,325.44,5857.48,5857.48,0,0,"organic",2017,"BaltimoreWashington"
