"row" "State" "Gender" "Year" "Name" "Count"
"1" "CA" "F" 1941 "Kelly" 6
"2" "CA" "F" 1943 "Kelly" 5
"3" "CA" "F" 1944 "Kelly" 7
"4" "CA" "F" 1945 "Kelly" 6
"5" "CA" "F" 1946 "Kelly" 7
"6" "CA" "F" 1947 "Kelly" 8
"7" "CA" "F" 1948 "Kelly" 16
"8" "CA" "F" 1949 "Kelly" 26
"9" "CA" "F" 1950 "Kelly" 21
"10" "CA" "F" 1951 "Kelly" 36
"11" "CA" "F" 1952 "Kelly" 64
"12" "CA" "F" 1953 "Kelly" 54
"13" "CA" "F" 1954 "Kelly" 71
"14" "CA" "F" 1955 "Kelly" 110
"15" "CA" "F" 1956 "Kelly" 134
"16" "CA" "F" 1957 "Kelly" 306
"17" "CA" "F" 1958 "Kelly" 615
"18" "CA" "F" 1959 "Kelly" 840
"19" "CA" "F" 1960 "Kelly" 1172
"20" "CA" "F" 1961 "Kelly" 1245
"21" "CA" "F" 1962 "Kelly" 1450
"22" "CA" "F" 1963 "Kelly" 1572
"23" "CA" "F" 1964 "Kelly" 1408
"24" "CA" "F" 1965 "Kelly" 1372
"25" "CA" "F" 1966 "Kelly" 1274
"26" "CA" "F" 1967 "Kelly" 1260
"27" "CA" "F" 1968 "Kelly" 1459
"28" "CA" "F" 1969 "Kelly" 1246
"29" "CA" "F" 1970 "Kelly" 1077
"30" "CA" "F" 1971 "Kelly" 866
"31" "CA" "F" 1972 "Kelly" 772
"32" "CA" "F" 1973 "Kelly" 725
"33" "CA" "F" 1974 "Kelly" 834
"34" "CA" "F" 1975 "Kelly" 810
"35" "CA" "F" 1976 "Kelly" 907
"36" "CA" "F" 1977 "Kelly" 1299
"37" "CA" "F" 1978 "Kelly" 1258
"38" "CA" "F" 1979 "Kelly" 1149
"39" "CA" "F" 1980 "Kelly" 1064
"40" "CA" "F" 1981 "Kelly" 1057
"41" "CA" "F" 1982 "Kelly" 1101
"42" "CA" "F" 1983 "Kelly" 1000
"43" "CA" "F" 1984 "Kelly" 996
"44" "CA" "M" 1941 "Kelly" 9
"45" "CA" "M" 1942 "Kelly" 20
"46" "CA" "M" 1943 "Kelly" 18
"47" "CA" "M" 1944 "Kelly" 17
"48" "CA" "M" 1945 "Kelly" 16
"49" "CA" "M" 1946 "Kelly" 15
"50" "CA" "M" 1947 "Kelly" 24
"51" "CA" "M" 1948 "Kelly" 33
"52" "CA" "M" 1949 "Kelly" 55
"53" "CA" "M" 1950 "Kelly" 41
"54" "CA" "M" 1951 "Kelly" 76
"55" "CA" "M" 1952 "Kelly" 93
"56" "CA" "M" 1953 "Kelly" 105
"57" "CA" "M" 1954 "Kelly" 94
"58" "CA" "M" 1955 "Kelly" 138
"59" "CA" "M" 1956 "Kelly" 185
"60" "CA" "M" 1957 "Kelly" 216
"61" "CA" "M" 1958 "Kelly" 244
"62" "CA" "M" 1959 "Kelly" 300
"63" "CA" "M" 1960 "Kelly" 339
"64" "CA" "M" 1961 "Kelly" 302
"65" "CA" "M" 1962 "Kelly" 279
"66" "CA" "M" 1963 "Kelly" 306
"67" "CA" "M" 1964 "Kelly" 238
"68" "CA" "M" 1965 "Kelly" 208
"69" "CA" "M" 1966 "Kelly" 252
"70" "CA" "M" 1967 "Kelly" 302
"71" "CA" "M" 1968 "Kelly" 269
"72" "CA" "M" 1969 "Kelly" 282
